Question,Answer
إذا كان لديك 29 تفاحة، وأعطيت 19 منها لأصدقائك، كم تفاحة ستبقى لديك؟,10
إذا كان لديك 22 كتاباً، وأعطيت 17 منها لأصدقائك، كم كتاباً سيبقى لديك؟,5
إذا كان لديك 50 كرة، وأعطيت 20 كرة لأخيك، كم كرة ستبقى لديك؟,30
إذا كان لديك 330 كتاباً، وأعطيت 140 منها لأصدقائك، كم كتاباً سيبقى لديك؟,190
في مدرسة، نسبة الطالبات إلى الطلاب 3:2. إذا كان عدد الطلاب 100، فكم عدد الطالبات؟,150
إذا كان لديك 25 تفاحة وأكلت 10 منها، كم تفاحة تبقى لديك؟,15
إذا كان لديك 9 كتب وأعطيت 4 منها لأصدقائك، كم كتاب بقي لديك؟,5
إذا كان لديك 43 كرة، وأعطيت 38 منها لأخيك، كم كرة ستبقى لديك؟,5
إذا كان لديك 350 ريالاً، وأنفقت 250 ريالاً، كم ريالاً سيبقى لديك؟,100
إذا كان هناك 3 فصول دراسية، وكل فصل يحتوي على 15 طالبًا، كم العدد الكلي للطلاب؟,45
إذا كان لديك 12 كتاباً، وأعطيت 6 منها لأصدقائك، كم كتاباً سيبقى لديك؟,6
كم يكون الناتج إذا ضربت 7 في 7 ثم أضفت نصف الناتج إلى العدد 49؟,98
ما هو العدد الكلي للأشياء إذا كان لديك 3 من الأقلام و2 من الكتب؟,5
لديك 700 كتاب ووزعت 300 على المكتبات. كم كتاباً بقي معك؟,400
ما هو العدد الذي يكون أكبر من 3 وأصغر من 5؟,4
إذا كان لديك 50 كرة وفقدت 15 منها، كم كرة ستبقى معك؟,35
كم عدد الأيدي لدى شخصين؟,4
كم عدد العيون في أربعة كلاب؟,8
إذا كانت لديك 3 قطع من الشوكولاتة وأعطيت واحدة لصديقك، كم قطعة بقيت؟,2
لدى سامي ثلاث كرات وكلب. كم عدد الحيوانات التي يمتلكها سامي؟,1
لدي 270 ريالاً. إذا أنفقت ربع هذا المبلغ، كم ريالاً سأنفق؟,67
كم عدد الأرجل في 7 خيول و4 خنازير؟,44
في مصنع، ينتج العامل 20 قطعة في الساعة. كم ساعة يحتاج 5 عمال لإنتاج 1000 قطعة؟,10
هناك ثلاثة طلاب. كل طالب لديه كتاب. كم عدد الكتب الإجمالية؟,3
إذا ضاعفت العدد 4 ثلاث مرات، كم يصبح العدد؟,32
كم عدد الأصابع لدى 3 أشخاص؟,30
إذا كان لديك 9 زجاجات، وكل زجاجة تحتوي على 2 لتر من العصير، كم لتر عصير لديك؟,18
في سباق جري، قطع المتسابق الأول 3/4 المسافة في 30 دقيقة. إذا كانت المسافة الكلية 20 كم، فكم كيلومترًا قطع في 30 دقيقة؟,15
إذا كان لديك 50 قلماً ملوناً وأعطيت ثلث هذا العدد لأصدقائك، كم قلماً ملوناً ستبقى لديك؟,33
إذا كان لديك 100 درهم وأنفقت ثلثها، كم درهماً بقي معك؟,67
لدي 360 ريالاً. إذا أنفقت نصف هذا المبلغ، كم ريالاً سأنفق؟,180
إذا كان لديك 10 صناديق، يحتوي كل صندوق على 12 كرة، ثم أضفت 5 كرات لكل صندوق، كم عدد الكرات الكلي الآن؟,170
لدي ثلاث تفاحات وبرتقالة واحدة. كم عدد الفواكه التي لدي؟,4
كم عدد أرجل العنكبوت؟,8
رأيت خمسة طيور وعصفور واحد. كم عدد الطيور التي رأيتها؟,6
إذا كان لديك 8 تفاحات وأعطيت ربعها لصديقك، كم تفاحة بقيت معك؟,6
في مصنع، ينتج العامل 15 قطعة في الساعة. إذا عمل 12 عاملاً لمدة 8 ساعات يوميًا لمدة 6 أيام، فكم قطعة سينتجون؟,8640
إذا كان لدي 5 تفاحات وأكلت 2 منها، كم تفاحة بقيت؟,3
لدي 40 قطعة نقدية من فئة 2 ريال. كم ريالاً لدي بالإجمالي؟,80
إذا كان لديك 12 بيضة، وأعطيت 6 منها لجارك، كم بيضة بقيت لديك؟,6
إذا كان لديك 160 تفاحة، وأكلت 50 منها، كم تفاحة ستبقى لديك؟,110
إذا كان لديك 8 مربعات وقسمت كل مربع إلى 4 أجزاء، كم عدد الأجزاء التي تحصل عليها؟,32
في مدرسة، نسبة الطلاب الذين يمارسون الرياضة إلى الذين لا يمارسونها 3:2. إذا كان عدد الطلاب الذين لا يمارسون الرياضة 80، فكم عدد طلاب المدرسة؟,200
في مباراة كرة قدم، سجل الفريق الأول 3 أهداف والفريق الثاني ضعف ذلك. كم هدفًا سُجل في المباراة؟,9
إذا كان لديك 20 بيضة وقررت تقسيمها بالتساوي على 4 سلال، كم بيضة في كل سلة؟,5
إذا كان لديك 40 صناديق، وكل صندوق يحتوي على 9 كتب، وكل كتاب يحتوي على 150 صفحة. كم عدد الصفحات الإجمالي؟,-11536
كم عدد أيام شهر يناير؟,31
كم عدد الفصول في السنة؟,4
إذا كان لديك 25 زهرة وذبل خمسها، كم زهرة لا تزال حية؟,20
إذا كان لديك 150 صفحة لقراءتها وقرأت 40 صفحة في اليوم الأول و60 صفحة في اليوم الثاني، كم صفحة بقيت؟,50
لديك 20 ريالًا وأنفقت منها 7 ريالات. كم ريالًا يبقى لديك؟,13
إذا كان لديك 1 قطة، وأضفت 2 قطة أخرى، كم عدد القطط لديك الآن؟,3
إذا كنت تملك 30 حقيبة، وكل حقيبة تحتوي على 4 كتب، وكل كتاب يحتوي على 80 صفحة، كم عدد الصفحات الإجمالي؟,9600
إذا كان لديك 8 حقائب وكل حقيبة تحتوي على 6 دفاتر، وقررت إعطاء 3 حقائب لكل من أصدقائك الثلاثة، كم دفتر تبقى؟,30
إذا كان لديك 15 كتابًا ووضعت 5 على كل رف، كم رفًا تحتاج؟,3
كم عدد الأسابيع في شهرين؟,8
كم عدد السنوات في 3 عقود؟,30
لديك ستة حبات من الجوز وتفاحتان. كم عدد الفواكه لديك؟,2
كم عدد الأذنين لدى شخص واحد؟,2
إذا كان لديك 9 سيارات وكل سيارة تحتوي على 4 عجلات، كم عدد العجلات الإجمالية؟,36
إذا كان لديك 8 أزهار وأخذت 3 منها، كم زهرة تبقى لديك؟,5
إذا كان لديك 30 كتابًا، وأعطيت 10 منها، ثم اشتريت 25 كتابًا إضافيًا، كم كتابًا لديك الآن؟,45
كم عدد الأصابع في 2 يدين؟,10
لديك 30 صندوقًا، وكل صندوق يحتوي على 10 أنواع من الفواكه، وكل نوع يحتوي على 5 فواكه. كم عدد الفواكه الإجمالي؟,1500
لدى سارة خمس حبات من الفواكه وأربعة خضروات. كم عدد الفواكه؟,5
إذا كان لديك 25 ريالاً، وأنفقت 15 ريالاً، كم ريالاً سيبقى لديك؟,10
إذا كان هناك 20 كرة موزعة بالتساوي على 4 صناديق، كم كرة في كل صندوق؟,5
كم عدد أوجه المكعب؟,6
كم عدد الأقدام في 2 كراسي؟,8
كم عدد أيام السنة (غير الكبيسة)؟,365
لديك 3 صناديق، يحتوي كل صندوق على 4 كرات. كم عدد الكرات الكلي؟,12
إذا كان لديك 3 ساعات و 3 دقائق، كم المجموع بالدقائق؟,183
إذا كان لديك 90 دولارًا، وأنفقت 30 دولارًا على الطعام و20 دولارًا على الملابس، كم تبقى لديك؟,40
إذا كان لدى علي 5 أكياس من الحلوى، وفي كل كيس 12 قطعة، وأراد توزيعها بالتساوي على 6 أصدقاء، فكم قطعة سيحصل كل صديق؟,10
كم عدد الأيام في 3 أسابيع؟,21
لديك 18 حاوية، وكل حاوية تحتوي على 10 قطع من الحلوى، وكل قطعة تحتوي على 4 ألوان، كم عدد الألوان الإجمالي؟,720
إذا كان لديك 290 كرة، وأعطيت 120 منها لأخيك، كم كرة ستبقى لديك؟,170
في مصنع، ينتج العامل 10 قطع في الساعة. كم عاملاً نحتاج لإنتاج 1200 قطعة في 6 ساعات؟,20
إذا كان لديك 5 أكياس، وفي كل كيس 6 تفاحات، كم تفاحة لديك في المجموع؟,30
في مسابقة، شارك 50 متسابقًا. إذا فاز 20٪ منهم، كم عدد الفائزين؟,10
إذا كان لديك 600 قلم ووهبت ثلثها لمدرسة، كم قلماً سيبقى معك؟,400
إذا كان هناك 10 أطباق ووضعت 5 على كل طبق، كم عدد الإجمالي للأطباق؟,10
إذا كان لديك 170 ريالاً، وأنفقت 90 ريالاً، كم ريالاً سيبقى لديك؟,80
إذا كان لديك 30 تفاحة وأكلت ربعها، كم تفاحة ستبقى لديك؟,22
إذا كان لديك 10 كعكات وأكلت 3 منها، كم كعكة ستبقى لديك؟,7
إذا ضاعفت العدد 30 ثلاث مرات، كم يصبح الناتج؟,180
في مكتبة، 20٪ من الكتب روايات، و25٪ كتب علمية، و15٪ كتب أطفال، والباقي كتب تاريخية. إذا كان عدد الكتب التاريخية 160، فكم كتابًا في المكتبة؟,400
إذا كان لديك 280 كتاباً، وأعطيت 110 منها لأصدقائك، كم كتاباً سيبقى لديك؟,170
كم ضلعاً للمربع؟,4
إذا كان لديك 8 طيور و3 منها تطير، كم عدد الطيور التي لا تطير؟,5
إذا كان لديك 540 كرة، وأعطيت 350 منها لأخيك، كم كرة ستبقى لديك؟,190
عندي خمس أوراق شجر وعصفور واحد. كم من الأشياء الحية لدي؟,1
كم مرة تستطيع تقسيم العدد 49 على العدد 7؟,7
ما هو العدد الذي إذا أضفت إليه 7 يصبح 20؟,13
كم عدد العجلات في دراجتين هوائيتين؟,4
إذا كان لديك 60 كرة، ووزعت 15 كرة على 3 أصدقاء بالتساوي، كم عدد الكرات المتبقية لديك؟,45
إذا كان لديك 7 ساعات وسألت صديقك 4 منها، كم ساعة تبقى لديك؟,3
إذا كان لديك 33 تفاحة، وأكلت 28 منها، كم تفاحة ستبقى لديك؟,5
ما هو العدد الذي يلي 14 ويأتي قبل 16؟,15
إذا كان لديك 10 أقلام، وأعطيت 1 لأخيك، كم قلم تبقى لديك؟,9
في مكتبة، هناك 3 رفوف. على كل رف 8 كتب. كم كتابًا في المكتبة؟,24
كم عدد الأرجل في 3 خيول؟,12
إذا كان لديك 50 كيسًا، وكل كيس يحتوي على 6 تفاحات، كم عدد التفاحات لديك؟,300
إذا كان لديك 49 تفاحة، وأكلت 44 منها، كم تفاحة ستبقى لديك؟,5
إذا كان طول المستطيل 12 مترًا وعرضه نصف طوله، فكم مترًا مربعًا تبلغ مساحته؟,72
لديك 10 أقلام، أعطيت 3 لصديقك وفقدت 2. كم قلمًا بقي معك؟,5
في مسابقة الرياضيات، حصل 40٪ من الطلاب على درجة أعلى من 80. إذا كان عدد الطلاب المشاركين 250، فكم عدد الطلاب الذين حصلوا على درجة 80 أو أقل؟,150
لديك ستة أحذية وزوج واحد من القفازات. كم عدد الأحذية؟,6
إذا كان لدي 4 كرات و3 دفاتر. كم عدد الأشياء؟,7
كم عدد القلوب لدى 3 أشخاص؟,3
ما هو ناتج طرح 17 من 25؟,8
إذا كان لديك 150 كتابًا، ووزعت 50 كتابًا على 5 أصدقاء بالتساوي، كم كتاب يبقى لديك؟,120
إذا كان لديك 60 تفاحة، وأكلت 15 منها، كم تفاحة ستبقى لديك؟,45
إذا كان لديك 7 كرات، وأعطيت 3 كرات لأخيك، كم كرة ستبقى لديك؟,4
كم عدد الساعات في 10 أيام؟,240
كم عدد الأرجل في 7 خيول و3 قوارب؟,34
لديك 6 أقلام وأضعت 2 منها. كم قلم بقي معك؟,4
كم يكون العدد إذا جمعت نصف عدد 8 مع ضعفي العدد 2؟,8
إذا كان لديك 5 زهور وأعطيت زهرتين لصديقك، كم زهرة تبقى لديك؟,3
إذا كان لديك 200 دولار، وأنفقت 75 دولارًا على الطعام و50 دولارًا على الملابس، كم تبقى لديك؟,75
إذا كان لدي 200 ريال واشتريت 5 ألعاب بسعر 20 ريال لكل لعبة، كم ريالًا تبقى؟,100
إذا كان لديك 7 أرفف وكل رف يحتوي على 8 كتب، كم عدد الكتب الإجمالي؟,56
لدي 450 ريالاً. إذا أنفقت ثلثي هذا المبلغ، كم ريالاً سأنفق؟,300
لديك 14 حاوية، وكل حاوية تحتوي على 6 أنواع من الفواكه، وكل نوع يحتوي على 10 قطع، كم عدد القطع الإجمالي؟,840
إذا كان لديك 22 قسطًا من الأرز، وكل قسط يحتوي على 4 كجم من الأرز، كم عدد كجم الأرز لديك؟,88
كم عدد الدقائق في الساعة؟,60
إذا كان لدي 5 سيارات و3 دراجات، كم عدد المركبات لدي؟,8
إذا كانت لديك ثلاث كرات وأربع كرات أخرى، كم عدد الكرات؟,7
إذا كان لديك 17 كتاباً، وأعطيت 1 منها لأخيك، كم كتاباً سيبقى لديك؟,16
إذا كان لديك 150 كرة، ووزعت 50 كرة على 5 أصدقاء بالتساوي، كم عدد الكرات المتبقية لديك؟,100
إذا كان لديك 25 تفاحة ووزعت 10 على أصدقائك، كم تفاحة ستبقى معك؟,15
لديك 120 درهماً وأنفقت ثلثها. كم درهماً بقي معك؟,80
إذا كان لديك 30 كتاباً، وأعطيت 25 منها لأصدقائك، كم كتاباً سيبقى لديك؟,5
إذا كان لديك 420 ريالاً، وأنفقت 320 ريالاً، كم ريالاً سيبقى لديك؟,100
إذا كان لديك 6 صناديق، وكل صندوق يحتوي على 4 أنواع من الزهور، وكل نوع يحتوي على 5 زهور، كم زهرة لديك؟,120
كم عدد الأصابع في يدين اثنتين؟,10
إذا كنت تملك 24 علبة، وكل علبة تحتوي على 5 أنواع من الشوكولاتة، وكل نوع يحتوي على 10 قطع، كم عدد القطع الإجمالي؟,2400
إذا كان لديك 45 قلماً ووزعتها بالتساوي على 5 طلاب، كم قلماً سيحصل كل طالب؟,9
إذا كان لديك 7 صناديق وكل صندوق يحتوي على 5 كتب، كم عدد الكتب الإجمالي؟,35
كم عدد الأصابع في 4 أيادي؟,20
إذا كان لديك 7 مجموعات من الأوراق، وكل مجموعة تحتوي على 15 ورقة، واحتجت لاستخدام 5 ورقات من كل مجموعة، كم ورقة تبقى في كل مجموعة؟,10
إذا كان لديك 130 كتاباً، وأعطيت 40 منها لأصدقائك، كم كتاباً سيبقى لديك؟,90
إذا كنت تملك 5 مجموعات من الألوان، وكل مجموعة تحتوي على 9 ألوان، كم عدد الألوان لديك؟,45
إذا كانت لديك 25 ورقة، وأعطيت 10 ورقات لأخيك، كم ورقة تبقى لديك؟,15
كم عدد الزوايا في 5 مربعات؟,20
إذا كان لديك 9 تفاحات، وأكلت 3 منها، كم تفاحة ستبقى لديك؟,6
لدي 60 ريالاً. إذا أنفقت ربع هذا المبلغ، كم ريالاً سأنفق؟,15
إذا كان لديك 270 دقيقة ومر منها ساعتان، كم دقيقة بقيت؟,150
لديك 6 صناديق، كل صندوق يحتوي على 5 كتب، وكل كتاب يحتوي على 100 صفحة. كم عدد الصفحات الإجمالي؟,3000
ما هو العدد الذي إذا طرحته من 200 يصبح الناتج 135؟,65
لديك 20 صندوقًا، وكل صندوق يحتوي على 8 أنواع من الفواكه، وكل نوع يحتوي على 6 قطع، كم عدد القطع الإجمالي؟,960
كم يكون الناتج إذا ضربت عدد أيام الأسبوع في عدد أشهر السنة؟,84
إذا كان لديك 5 تفاحات وأعطيت منها 2، كم تفاحة تبقى معك؟,3
إذا كان لديك 320 ريالاً، وأنفقت 220 ريالاً، كم ريالاً سيبقى لديك؟,100
كم يكون مجموع نصف العدد 10 وثلث العدد 9؟,8
أحمد لديه 3 كتب و2 دفاتر، كم عدد الأدوات الدراسية التي لديه؟,5
إذا كان لدى مزارع 120 شجرة، وكان 25٪ منها أشجار تفاح، و30٪ أشجار برتقال، والباقي أشجار زيتون، فكم شجرة زيتون لديه؟,54
